,title,date,company,rating,salary,location,summary,requirements
1935,Data Scientist,4 days ago,Accord Infosystems,,,"Mumbai, Maharashtra",Identify valuable data sources and automate collection processes & Experience in data mining.Combine models through ensemble modeling & Present information…,
1936,Global Data Analyst,17 days ago,Qlik,3.7,,"Bengaluru, Karnataka",Serve as a data expert and facilitate bulk data changes in various system applications.Work with external data providers (D&B) to improve data quality across…,
1937,Lead Data Scientist,19 days ago,Vestas,3.4,,"Chennai, Tamil Nadu",Enable operational organization by data analytics deployed through self-service BI tools to make better decisions based on insights from data to improve…,
1938,Data Scientist,11 days ago,Harjai Computers,3,,"Navi Mumbai, Maharashtra",Correlating similar data to find actionable results.Searching through large data sets for usable information.Salary: Not Disclosed by Recruiter.,
1939,Data Analyst,12 days ago,Affinity Express,3.1,,"Pune, Maharashtra",Entering data into client EBS system / Database software and checking to ensure the accuracy of the data that has been inputted.,
1940,Data Scientist – 2 Positions,30+ days ago,TeamPlus Staffing Solution Pvt Ltd,,,"Aundh, Pune, Maharashtra",Experience writing SQL queries and handling large amounts of data.2-4 years of experience in the field of Data Science / Machine Learning.,
1941,Data Science Engineer,30+ days ago,AXA Business Services,3.8,,"Bengaluru, Karnataka",Will be responsible for promoting data science topics through the local entities; helping entities in integrating data science in their organisation;…,
1942,Data Analyst,4 days ago,CDK Global,3.2,,"Pune, Maharashtra","Knowledge of AWS, data streaming platform.In-depth understanding of organizational data flow and its use in management decision-making.Who do we look for?",
1943,FI Data Analytics and Risk Management,5 days ago,Drishtee Development And Communication Ltd.,,,"Varanasi, Uttar Pradesh",Understanding and managing risk through data.Data Analytics and Risk Management.1.Monitor key business metrics and support the team with key.,
1944,Machine Learning Engineer,30+ days ago,IDfy,4.3,,"Mumbai, Maharashtra","You are an early-career machine learning engineer (or data scientist).You will be acquiring data, training and.Services that support key workflows for IDfy.",
1945,Research Scientist – Cell Line Engineering Post Vacant,5 days ago,,,"₹35,000 a month",India,"Literature searches, design of molecular &; cellular laboratory experiments, execution, data interpretation, compilation, preparation and review of reports.",
1946,Field Scientist / Agronomist-For Gurgaon Location,10 days ago,GNK E Services,,"₹5,00,000 - ₹7,00,000 a year","Gurgaon, Haryana","Profile-Field Scientist / Agronomist Salary-30k-70k Location-Sector 43, Gurgaon Education- (B.Sc.) in Food Technology Experience- Must have experience with…",
1947,IT Developer - Data and Analytics,7 days ago,Mott MacDonald,3.9,,India,Build Data Analysis Expressions (DAX) functions (where it makes sense to build these in Power BI rather than in the data model).,
1948,"Data Analyst, Large Customers, South APAC",6 days ago,Criteo,4,,"Gurgaon, Haryana","Consequently, Criteo may use your personal data in relation to the evaluation and selection of applicants.Criteo collects your personal data for the purposes…",
1949,Experienced Associate - IPS Data Analytics,30+ days ago,PwC,4,,"Mumbai, Maharashtra","Knowledge of data mining tools like Alteryx.Knowledge of statistical data analysis software like R, SAS.A career in our Advisory Service Delivery Centre is…",
1950,"Research Analyst, Policy Data",5 days ago,FiscalNote,,,"Gurgaon, Haryana","Proven expertise in data processing, evaluation, and reporting and experience with varied data sources.Our platforms analyze unstructured data relating to…",
1951,Data Scientist,30+ days ago,ScaleIn,,,"Bengaluru, Karnataka",Implement and support data discovery and predictive analytics models by analyzing business data.Ability to design the models to work on small to very large…,
1952,Principal Scientist,19 days ago,KSCSTE,,"₹67,000 a month","Thiruvananthapuram, Kerala","Applications, accompanied by detailed bio-data, No Objection Certificate, copies of certificates and name of three referees should reach the Member Secretary,…",
